target_emb_0,target_emb_1,target_emb_2,target_emb_3,target_emb_4,target_emb_5,target_emb_6,target_emb_7,target_emb_8,target_emb_9,target_emb_10,target_emb_11,target_emb_12,target_emb_13,target_emb_14,target_emb_15,account_id
4.7934947,-0.45114994,-0.22069313,3.9176466,0.940093,7.017098,-0.7781182,-2.0339456,-1.1032063,-1.7524142,0.92747444,-1.3918065,-0.0059415703,-1.5154831,-0.8804958,6.465833,ACC_0000
5.162433,-1.4226722,-0.38602215,4.1144376,0.3687188,7.25592,-1.1191437,-1.3934019,-0.9069629,-1.5616951,0.2983312,-1.8647563,-0.002655549,-1.1858842,-1.4976038,6.624917,ACC_0001
5.4401326,-1.5999572,-0.47618055,4.0397778,0.4174102,6.8286343,-0.86588234,-1.4400932,-0.93689835,-1.4914217,0.35021406,-1.7331302,-0.0057662725,-1.1154166,-1.3271936,6.6361327,ACC_0002
4.658143,-1.3940573,-0.37772453,3.8333771,0.11536424,7.119166,-1.3923782,-1.1339478,-0.77635,-1.3782864,0.12941593,-2.085928,-0.0009880654,-1.1701843,-1.6507264,6.4365053,ACC_0003
4.634087,-1.217077,-0.3779565,3.701543,0.43869573,6.4079638,-1.0213326,-1.3404984,-0.8588972,-1.4400868,0.30757397,-1.6343973,-0.00458468,-1.1112473,-1.3384838,6.0588326,ACC_0004
4.7236032,-1.1948686,-0.37188166,3.6622322,0.45673364,6.296494,-0.77732515,-1.4018618,-0.8810172,-1.4433092,0.36429852,-1.4661132,-0.0047902595,-1.0832682,-1.1470276,6.001998,ACC_0005
3.9171708,-0.4188484,-0.21663387,2.5482166,0.98874646,4.109653,0.031685337,-2.023466,-0.96696526,-1.1976918,0.90548867,-0.3531589,-0.0116878,-0.9545024,-0.20820378,4.763108,ACC_0006
4.8975086,-1.478919,-0.4098274,3.8837023,0.33879095,6.7532516,-1.2629364,-1.2701997,-0.86361057,-1.419534,0.22684878,-1.950869,-0.0041985973,-1.1380491,-1.5522957,6.3632245,ACC_0007
4.5173397,-0.9624647,-0.34739375,3.5206616,0.5357584,6.062831,-0.67532396,-1.4110057,-0.893604,-1.4110352,0.44909257,-1.3672537,-0.004877818,-1.1077869,-1.0703588,5.7621684,ACC_0008
5.0343666,-0.68735456,-0.2326823,3.854116,0.8813377,6.6143026,-0.6103143,-2.0646148,-1.0847006,-1.6887976,0.8857669,-1.2814012,-0.007498822,-1.3779688,-0.74143267,6.3856244,ACC_0009
4.8149805,-0.86912024,-0.30059916,3.621641,0.6552583,6.1828146,-0.6410055,-1.456324,-0.93541193,-1.4840829,0.6367927,-1.3897843,-0.004129504,-1.1376945,-0.97479105,5.742595,ACC_0010
4.804042,-1.613113,-0.4456939,3.8852036,0.08728735,7.078588,-1.4152255,-1.0979334,-0.7855509,-1.343862,0.10580987,-2.207261,-0.002248751,-1.170921,-1.7078352,6.5367174,ACC_0011
4.994143,-0.63592386,-0.22110032,3.9227586,0.8601255,7.04168,-0.75033265,-1.9970074,-1.0976516,-1.6944525,0.8917479,-1.353611,-0.005807219,-1.4272752,-0.87314606,6.550702,ACC_0012
4.7638254,-1.469548,-0.4080482,3.9108243,0.118060395,7.1868377,-1.3129478,-1.1375244,-0.8075714,-1.3929521,0.1702221,-2.153154,-0.0012543258,-1.212446,-1.6395843,6.4704566,ACC_0013
4.872283,-1.6207895,-0.43951845,3.9870293,0.07744782,7.4210343,-1.4638448,-1.1148667,-0.8054571,-1.3974178,0.11644775,-2.2790742,-0.0011121087,-1.2204236,-1.7590535,6.667432,ACC_0014
5.2419453,-1.742002,-0.49230266,3.9842656,0.2924239,6.7366605,-1.1671851,-1.3373027,-0.8750081,-1.4374166,0.169684,-1.8954662,-0.0061441613,-1.080719,-1.5162582,6.5977817,ACC_0015
4.6166267,-0.65316176,-0.24139072,3.2619755,0.9328299,5.504824,-0.2154556,-2.0003288,-1.0475601,-1.4377992,0.952534,-0.8233124,-0.009545801,-1.1753854,-0.43088734,5.65019,ACC_0016
4.634137,-1.3261086,-0.39380878,3.4900634,0.41025525,5.969694,-0.7794992,-1.3126475,-0.86298066,-1.3112257,0.33718866,-1.4892297,-0.005559977,-1.0185065,-1.1523063,5.80741,ACC_0017
4.702459,-0.93618834,-0.33685023,3.8128066,0.5434225,6.5388045,-0.84776616,-1.4948795,-0.90168726,-1.5824116,0.4042135,-1.512407,-0.0042672902,-1.1881517,-1.2122571,6.1124825,ACC_0018
5.456253,-0.9849335,-0.24111362,4.454936,0.7032885,8.021226,-1.1593025,-1.9915417,-1.1078854,-1.8759625,0.7520291,-1.8430384,-0.0042756884,-1.5417968,-1.2019337,7.18586,ACC_0019
4.822219,-1.1929613,-0.39805788,3.8591235,0.49328202,6.7658315,-0.91645265,-1.4212537,-0.9072428,-1.5302675,0.38906366,-1.6583735,-0.004001078,-1.2028801,-1.275758,6.2905874,ACC_0020
5.12813,-0.8605993,-0.25013542,4.0878806,0.7570575,7.265285,-0.8914883,-1.9194322,-1.1050584,-1.7017411,0.83480924,-1.6115845,-0.005718294,-1.465246,-0.9951459,6.663827,ACC_0021
4.7185364,-1.1316589,-0.37984508,3.7202768,0.4872548,6.406961,-0.9074626,-1.3986697,-0.880956,-1.4625415,0.3583129,-1.5578607,-0.0048708282,-1.129812,-1.2468843,6.116915,ACC_0022
4.8273983,-1.5774186,-0.4506513,3.685864,0.3208521,6.315053,-1.0564398,-1.2677445,-0.8593687,-1.331002,0.2246998,-1.7681806,-0.005798349,-1.054965,-1.3968387,6.122431,ACC_0023
5.0526257,-0.6518239,-0.2013882,4.0566115,0.8413194,7.266871,-0.8370838,-2.0158033,-1.0988008,-1.7631292,0.8771154,-1.4755328,-0.005058234,-1.4738485,-0.9298034,6.633614,ACC_0024
4.7731123,-0.6386422,-0.22744082,3.723674,0.8678618,6.5940013,-0.6873676,-1.9954396,-1.0649915,-1.6296966,0.8652409,-1.2717501,-0.0067935684,-1.3746736,-0.80040944,6.264569,ACC_0025
4.7039046,-0.90101826,-0.35818738,3.8391898,0.57305604,6.7994123,-0.8882953,-1.486547,-0.9208527,-1.5840871,0.44197875,-1.5515076,-0.0035343803,-1.2424649,-1.2473593,6.250772,ACC_0026
5.10797,-1.4177244,-0.42841262,4.1116495,0.40862185,7.2498555,-1.1487938,-1.3877115,-0.9223743,-1.5724406,0.32041472,-1.9411756,-0.0033787475,-1.2453201,-1.5279114,6.6232657,ACC_0027
4.6121774,-1.0217208,-0.39714164,3.82771,0.52866393,6.619008,-1.0145612,-1.433274,-0.90432876,-1.5528033,0.36203653,-1.6879202,-0.0049752584,-1.2410915,-1.3566477,6.187615,ACC_0028
5.030124,-0.75865936,-0.25723237,3.887716,0.8449009,6.768847,-0.7002475,-2.0093935,-1.0821912,-1.6705236,0.84806246,-1.3152244,-0.007489695,-1.3715339,-0.840274,6.5070615,ACC_0029
4.9078274,-0.68150723,-0.23056813,3.8685157,0.84010595,6.9219213,-0.7939834,-1.977515,-1.0814056,-1.6716933,0.8593231,-1.4007269,-0.006089115,-1.4216471,-0.8828827,6.457904,ACC_0030
4.890829,-1.3876835,-0.41227615,3.8113043,0.38192624,6.718385,-1.04721,-1.3580561,-0.88462245,-1.4439049,0.290415,-1.7124048,-0.00425421,-1.1210723,-1.3935143,6.2857223,ACC_0031
4.8846397,-1.2628506,-0.38248777,3.8062875,0.45273083,6.6848006,-0.8815849,-1.4120616,-0.8978247,-1.4872038,0.37311226,-1.6121446,-0.0038645961,-1.1414436,-1.2372212,6.2419724,ACC_0032
5.1112976,-1.2376244,-0.37543005,4.1939673,0.4565261,7.384993,-1.1727632,-1.4526675,-0.9173971,-1.6669354,0.33809453,-1.9071151,-0.0025771745,-1.2785786,-1.492099,6.6993012,ACC_0033
5.0718803,-0.5730144,-0.2309892,4.1119514,0.9074653,7.2372966,-0.76757735,-2.0599647,-1.1219032,-1.8102365,0.92354745,-1.4691933,-0.005972982,-1.5300543,-0.8911277,6.679779,ACC_0034
5.4332714,-1.6145053,-0.4542507,4.43039,0.35309118,7.966321,-1.4161594,-1.4041795,-0.9281669,-1.6807902,0.2538498,-2.2143116,-0.0020239614,-1.321995,-1.733127,7.1453233,ACC_0035
5.315316,-0.8495625,-0.24019347,4.290229,0.8074326,7.7927537,-0.9030669,-1.9783429,-1.126834,-1.8326648,0.89612454,-1.6573293,-0.004162607,-1.5480615,-0.9702188,6.9671936,ACC_0036
4.691909,-1.2248434,-0.38937533,3.7039087,0.4457739,6.331795,-0.9703798,-1.3449961,-0.8780126,-1.4250702,0.33011514,-1.680183,-0.0051249377,-1.1323862,-1.305177,6.0386434,ACC_0037
5.0672197,-1.2045406,-0.40562797,4.1197577,0.48208505,7.168571,-1.0939941,-1.4586872,-0.9304319,-1.6217806,0.35782117,-1.8597838,-0.0037179175,-1.2746155,-1.4635906,6.627623,ACC_0038
4.4279327,-1.3361487,-0.40433133,3.607414,0.16459672,6.560916,-1.180636,-1.1310782,-0.77569824,-1.3135239,0.17160255,-1.9248561,-0.0028675483,-1.1394093,-1.4671369,6.0916057,ACC_0039
4.7746353,-1.5707858,-0.4118417,3.8001015,0.07620816,6.932158,-1.2694503,-1.109847,-0.78652674,-1.3198247,0.1310485,-2.0741572,-0.001960467,-1.1245582,-1.5911715,6.380593,ACC_0040
4.6060863,-0.8437891,-0.36130953,3.8448324,0.60351104,6.740121,-0.92979944,-1.4808054,-0.91861576,-1.600395,0.44973892,-1.6056563,-0.0038943607,-1.2801087,-1.2720747,6.1974206,ACC_0041
4.508404,-0.8772522,-0.33176637,3.4129412,0.5723659,5.9502635,-0.582037,-1.494277,-0.8830045,-1.4075278,0.45223933,-1.1870043,-0.004814182,-1.0583996,-0.9760041,5.7529387,ACC_0042
4.95711,-1.4741999,-0.4176007,3.8753812,0.36681646,6.8660274,-0.94093704,-1.354215,-0.89456147,-1.4588296,0.30605477,-1.663302,-0.003682489,-1.1088187,-1.3711456,6.37322,ACC_0043
5.430276,-0.9626806,-0.27553087,4.1785088,0.76066726,7.2637672,-0.78915644,-1.9947532,-1.1159942,-1.7303619,0.8286379,-1.5129377,-0.006798681,-1.4124082,-0.930645,6.867139,ACC_0044
5.3387184,-1.4315131,-0.41162485,4.2215405,0.40355176,7.3742857,-1.0820701,-1.4324006,-0.93761647,-1.5967026,0.34199136,-1.9083997,-0.0030040513,-1.227089,-1.497725,6.7614865,ACC_0045
4.8496428,-1.0730729,-0.36298162,3.904393,0.5087009,6.7209487,-0.8442743,-1.4866291,-0.9189169,-1.5924795,0.4012155,-1.5908092,-0.0041407226,-1.2063615,-1.2312646,6.247263,ACC_0046
4.7180185,-1.5815468,-0.41276014,3.824701,0.06417374,6.959439,-1.3631939,-1.0647911,-0.78276056,-1.3162031,0.1185953,-2.1948318,-0.0018316956,-1.1594324,-1.6660875,6.3562274,ACC_0047
5.4583917,-1.0718305,-0.28420192,4.53635,0.6886695,8.1389,-1.2612386,-1.923561,-1.125126,-1.8772261,0.74578816,-2.016293,-0.004751918,-1.6008466,-1.2971658,7.258344,ACC_0048
4.721464,-0.701736,-0.32731128,3.857796,0.6724872,6.778148,-0.6453922,-1.6334735,-0.9486205,-1.684345,0.5373046,-1.3599981,-0.003377162,-1.276227,-1.0826008,6.211345,ACC_0049
5.0123205,-1.2390655,-0.39499968,3.9080536,0.46454996,6.86407,-0.91141677,-1.433744,-0.9203166,-1.5112451,0.38506907,-1.6459279,-0.003771339,-1.1697011,-1.3124485,6.403635,ACC_0050
4.249318,-0.35354435,-0.2048483,3.5743322,0.7037317,6.6991563,-0.73668176,-1.7553488,-1.0029253,-1.5523018,0.8774361,-1.3502254,-0.004257904,-1.4593359,-0.7401848,6.0785003,ACC_0051
5.098801,-1.4908007,-0.42563224,4.094297,0.3573354,7.2158136,-1.2649425,-1.3307673,-0.90156275,-1.5229057,0.26533598,-2.025899,-0.0033327918,-1.2210919,-1.601152,6.6305857,ACC_0052
5.189166,-0.93347275,-0.2666729,4.2362666,0.7378004,7.558172,-1.0392444,-1.8970654,-1.1092472,-1.7593625,0.8069969,-1.772787,-0.0054391613,-1.5246868,-1.1035023,6.842728,ACC_0053
4.5069256,-0.63098335,-0.21935378,3.7028453,0.6140894,6.800508,-0.9011531,-1.6675599,-1.0117464,-1.545285,0.8506816,-1.5938587,-0.0045832233,-1.4503409,-0.8401971,6.1014233,ACC_0054
4.662687,-0.9821712,-0.3656137,3.668648,0.5560135,6.2121115,-0.7271439,-1.4635055,-0.89846957,-1.4901675,0.42479414,-1.3757402,-0.0053722817,-1.1192193,-1.1349144,5.982525,ACC_0055
4.682046,-0.19401109,-0.15704648,3.7309692,1.0428745,6.744605,-0.5028714,-2.1288085,-1.1006465,-1.7419245,1.0335548,-1.0647961,-0.0052746395,-1.4633741,-0.65168893,6.2387733,ACC_0056
5.372404,-1.5233629,-0.43293363,4.398547,0.3488111,7.956787,-1.4543302,-1.3896453,-0.928376,-1.6512148,0.2509095,-2.1953263,-0.0016467754,-1.3116956,-1.7851169,7.1030793,ACC_0057
5.396834,-1.5765862,-0.44467193,4.481029,0.32971555,7.964005,-1.526036,-1.370961,-0.92878747,-1.6781983,0.22018558,-2.320499,-0.0021705227,-1.3416648,-1.858047,7.1307864,ACC_0058
5.022994,-0.76717424,-0.22980483,3.988448,0.7933603,7.169065,-0.8384449,-1.9094229,-1.0965376,-1.6787227,0.872467,-1.5199989,-0.005343899,-1.4534357,-0.9180484,6.560969,ACC_0059
-0.6505219,7.431339,5.060159,-1.6725918,5.2621956,-1.2603413,6.8133416,-2.4967606,-3.171681,-1.2714473,4.8057504,8.1288395,-0.014967688,-1.4181918,5.849169,-0.94553447,ACC_0060
-0.7108638,7.5057445,5.0519514,-1.7362021,5.2968755,-1.2964591,6.974134,-2.451624,-3.202299,-1.2642636,4.85507,8.2068615,-0.014381241,-1.4147186,5.858771,-0.99156713,ACC_0061
-0.65511996,7.760025,5.124169,-1.8057193,5.4917607,-1.3616177,7.2081785,-2.4549859,-3.3709564,-1.2919968,5.0370874,8.454182,-0.014368296,-1.4285158,5.9070916,-1.0752044,ACC_0062
-0.90330315,6.8466125,5.082519,-1.7798525,4.658058,-1.2890259,6.2646956,-2.0754318,-2.947433,-1.0024878,4.3899527,7.6141562,-0.014067878,-1.3178694,5.5722766,-1.0146377,ACC_0063
-0.8649725,6.892544,5.0458465,-1.7948368,4.712484,-1.3060423,6.371421,-2.0508132,-3.0269763,-0.99960583,4.4652867,7.6630464,-0.013952429,-1.3239529,5.5537453,-1.0731201,ACC_0064
-1.0634,6.598293,4.7204866,-1.8299385,4.5402193,-1.2086622,6.281025,-2.04027,-2.7501779,-0.9556839,4.202766,7.2795596,-0.012655502,-1.3002574,5.50057,-0.95045185,ACC_0065
-0.7960759,6.8702645,4.850813,-1.7425762,4.761301,-1.2824405,6.3348527,-2.059649,-3.049262,-1.0309374,4.4540415,7.621686,-0.013538339,-1.3116,5.4765296,-1.0251738,ACC_0066
-0.89867353,7.2763696,5.066748,-1.9851767,5.0169044,-1.3396366,6.8036532,-2.103827,-3.1816788,-1.0309713,4.7192535,8.010114,-0.013415055,-1.3518658,5.7119355,-1.1614231,ACC_0067
-0.9380955,7.3445096,5.26524,-1.9834886,5.0301857,-1.5150737,6.911636,-2.0492463,-3.3071413,-1.0254833,4.7611575,8.173029,-0.013289322,-1.3220863,5.67353,-1.2427781,ACC_0068
-0.9308883,7.1562304,5.117167,-1.9307699,4.910305,-1.3882171,6.689655,-2.0796216,-3.1533577,-1.0173349,4.6166987,7.9352384,-0.0133340685,-1.3254833,5.652396,-1.1382949,ACC_0069
-0.678751,7.2387977,4.8372917,-1.6366588,5.154501,-1.1050287,6.621221,-2.5272741,-2.9446242,-1.267133,4.6444416,7.8183265,-0.015067849,-1.4348135,5.8455486,-0.8148383,ACC_0070
-0.72229666,7.526315,5.112343,-1.7367547,5.294344,-1.3473946,6.9859114,-2.4421105,-3.2440822,-1.2631911,4.8538966,8.261677,-0.014244534,-1.3983281,5.8428483,-1.0102228,ACC_0071
-0.7009016,7.6482253,5.2061863,-1.7812316,5.3706555,-1.3692584,7.025954,-2.4572864,-3.3071082,-1.2719368,4.934388,8.413456,-0.014236035,-1.3970295,5.877625,-1.0401616,ACC_0072
-0.693693,7.9209466,5.244612,-1.8751744,5.6133275,-1.467785,7.390536,-2.4567258,-3.4978995,-1.2870857,5.1592574,8.648027,-0.014172861,-1.4246819,5.9482656,-1.1449969,ACC_0073
-0.7097452,7.7143598,5.2457924,-1.7806774,5.438531,-1.4617103,7.1322484,-2.4713345,-3.3975062,-1.2846291,4.959154,8.481,-0.01419012,-1.3895934,5.8757634,-1.0686934,ACC_0074
-0.93474877,7.368875,5.248592,-1.975646,5.0374236,-1.4915572,6.880673,-2.0651627,-3.2768846,-1.040972,4.7365327,8.151176,-0.013355693,-1.3227184,5.689854,-1.1994996,ACC_0075
-0.78174347,7.6096234,4.980113,-1.799726,5.4083343,-1.350295,7.1797223,-2.4574564,-3.2219558,-1.2799169,4.8696733,8.224776,-0.013941787,-1.4220152,5.888246,-0.9875114,ACC_0076
-0.8516334,7.1152253,5.2126093,-1.8706608,4.8160067,-1.3845699,6.537273,-2.0157385,-3.18779,-1.0078194,4.6091785,7.9645314,-0.0134289935,-1.303243,5.581095,-1.1519864,ACC_0077
-0.6282299,7.7870293,5.3020434,-1.7737683,5.512089,-1.3117154,6.974788,-2.6116915,-3.292357,-1.325838,4.9935975,8.49148,-0.015518606,-1.4414431,6.0262413,-0.96453667,ACC_0078
-0.74374664,7.243483,4.852532,-1.6763211,5.1470118,-1.1875461,6.6984262,-2.4858367,-2.9874277,-1.2496855,4.6302557,7.8660893,-0.0143365115,-1.4049971,5.798466,-0.8597803,ACC_0079
-0.89512116,6.9799986,5.0861087,-1.8297311,4.7765217,-1.3365129,6.4533277,-2.080815,-3.0494342,-1.0145035,4.48776,7.7406945,-0.013902273,-1.3242471,5.598634,-1.0693172,ACC_0080
