tx_id,source_id,target_id,amount,timestamp,is_first_time_transfer,device_switch_last_24h,session_duration_sec,ratio_to_daily_avg,auth_factor_used,channel,is_scam
TX_005329,ACC_1013,ACC_1008,1099.33,2026-08-01 00:39:00,0,0,43,1.29,face_scan,kplus_app,0
TX_002455,ACC_0284,ACC_1179,811.88,2026-08-01 00:39:00,0,0,34,1.23,pin,kplus_app,0
TX_005772,ACC_0673,ACC_0470,1563.67,2026-08-01 00:40:00,1,0,54,0.71,face_scan,kplus_app,0
TX_005257,ACC_0426,ACC_0969,81.52,2026-08-01 00:48:00,1,0,28,1.37,face_scan,kplus_app,0
TX_001873,ACC_0734,ACC_0664,143.53,2026-08-01 00:50:00,0,0,38,0.65,pin,kplus_app,0
TX_002093,ACC_0372,ACC_0302,500.67,2026-08-01 00:53:00,0,0,37,0.64,pin,kplus_app,0
TX_003673,ACC_0501,ACC_0747,173.52,2026-08-01 00:53:00,0,0,62,0.57,face_scan,kplus_app,0
TX_004779,ACC_0423,ACC_0999,731.97,2026-08-01 01:05:00,0,0,38,0.45,pin,kplus_app,0
TX_002078,ACC_0897,ACC_0589,341.37,2026-08-01 01:08:00,1,0,53,1.03,pin,kplus_app,0
TX_004841,ACC_1115,ACC_0372,180.27,2026-08-01 01:11:00,0,0,60,0.93,pin,kplus_app,0
TX_005265,ACC_1042,ACC_0228,47.49,2026-08-01 01:12:00,0,0,55,1.36,pin,kplus_app,0
TX_004964,ACC_0449,ACC_0228,283.09,2026-08-01 01:16:00,0,0,35,0.37,pin,kplus_app,0
TX_003713,ACC_0606,ACC_0314,2367.53,2026-08-01 01:25:00,0,0,41,0.39,pin,kplus_app,0
TX_000536,ACC_0748,ACC_0189,93.6,2026-08-01 01:26:00,0,0,59,0.23,face_scan,kplus_app,0
TX_001384,ACC_0251,ACC_0211,859.07,2026-08-01 01:34:00,0,0,51,0.57,pin,kplus_app,0
TX_005000,ACC_0318,ACC_0154,268.68,2026-08-01 01:36:00,0,0,38,0.38,pin,kplus_app,0
TX_003627,ACC_0313,ACC_0631,1462.17,2026-08-01 01:39:00,0,0,46,0.19,pin,kplus_app,0
TX_003483,ACC_0400,ACC_0516,493.15,2026-08-01 01:54:00,0,0,48,0.87,pin,kplus_app,0
TX_006220,ACC_0696,ACC_0040,198.76,2026-08-01 02:05:00,1,0,35,0.3,pin,kplus_app,1
TX_001500,ACC_1088,ACC_0446,413.73,2026-08-01 02:17:00,0,1,40,1.47,pin,kplus_app,0
TX_001963,ACC_0696,ACC_0107,606.55,2026-08-01 02:18:00,0,0,46,0.53,pin,kplus_app,0
TX_006221,ACC_0696,ACC_0040,40892.83,2026-08-01 02:18:00,0,0,12,13.38,pin,kplus_app,1
TX_003090,ACC_0083,ACC_1087,1374.86,2026-08-01 02:27:00,0,0,58,1.47,pin,kplus_app,0
TX_001159,ACC_0871,ACC_1175,975.17,2026-08-01 02:34:00,0,0,57,0.79,pin,kplus_app,0
TX_003505,ACC_0335,ACC_0719,211.07,2026-08-01 02:34:00,0,0,43,1.29,pin,kplus_app,0
TX_003457,ACC_0925,ACC_0069,488.1,2026-08-01 02:42:00,0,0,48,0.76,pin,kplus_app,0
TX_000496,ACC_0812,ACC_0357,487.75,2026-08-01 02:44:00,1,0,31,1.16,pin,kplus_app,0
TX_001361,ACC_0554,ACC_0545,317.71,2026-08-01 02:50:00,0,0,49,1.25,pin,kplus_app,0
TX_005743,ACC_1008,ACC_0931,537.82,2026-08-01 02:56:00,0,0,44,0.86,face_scan,kplus_app,0
TX_000712,ACC_0299,ACC_1103,186.87,2026-08-01 03:03:00,0,0,28,0.59,pin,kplus_app,0
TX_000793,ACC_0838,ACC_0336,1608.15,2026-08-01 03:07:00,0,0,28,0.43,pin,kplus_app,0
TX_001576,ACC_0600,ACC_0329,201.91,2026-08-01 03:11:00,1,0,47,0.42,pin,kplus_app,0
TX_005096,ACC_0719,ACC_0490,1052.59,2026-08-01 03:13:00,0,0,47,1.09,pin,kplus_app,0
TX_002254,ACC_0823,ACC_1057,145.72,2026-08-01 03:14:00,0,0,36,1.45,face_scan,kplus_app,0
TX_000730,ACC_0144,ACC_0115,717.62,2026-08-01 03:21:00,0,0,34,1.45,face_scan,kplus_app,0
TX_000816,ACC_0967,ACC_1061,302.11,2026-08-01 03:40:00,0,0,58,1.43,pin,kplus_app,0
TX_004657,ACC_0226,ACC_0386,641.55,2026-08-01 03:44:00,0,0,37,0.71,pin,kplus_app,0
TX_003301,ACC_0680,ACC_0883,584.16,2026-08-01 04:04:00,1,0,50,0.53,pin,kplus_app,0
TX_002870,ACC_0799,ACC_0675,191.85,2026-08-01 04:08:00,1,0,39,1.39,pin,kplus_app,0
TX_004809,ACC_0540,ACC_1040,302.54,2026-08-01 04:13:00,1,1,46,0.28,pin,kplus_app,0
TX_003904,ACC_0670,ACC_1080,1130.4,2026-08-01 04:15:00,0,1,52,1.46,pin,kplus_app,0
TX_000502,ACC_0685,ACC_0419,1878.73,2026-08-01 04:17:00,0,0,34,1.11,face_scan,kplus_app,0
