account_id,account_age_days,kyc_level,is_promptpay_linked,avg_inflow_velocity_sec,is_mule
ACC_0000,39,2,1,142.55,1
ACC_0001,21,1,1,19.87,1
ACC_0002,24,1,1,120.65,1
ACC_0003,2,1,0,10.13,1
ACC_0004,21,1,1,11.2,1
ACC_0005,25,1,1,33.71,1
ACC_0006,28,2,1,25.4,1
ACC_0007,44,1,1,17.9,1
ACC_0008,7,1,1,171.31,1
ACC_0009,14,2,1,26.6,1
ACC_0010,20,1,1,113.7,1
ACC_0011,8,1,0,53.99,1
ACC_0012,40,2,1,45.35,1
ACC_0013,4,1,0,141.77,1
ACC_0014,34,1,0,133.64,1
ACC_0015,15,1,1,17.69,1
ACC_0016,40,2,1,101.75,1
ACC_0017,24,1,1,102.26,1
ACC_0018,41,1,1,12.66,1
ACC_0019,9,2,1,10.94,1
ACC_0020,11,1,1,144.33,1
ACC_0021,5,2,1,165.54,1
ACC_0022,9,1,1,20.8,1
ACC_0023,23,1,1,110.52,1
ACC_0024,22,2,1,30.33,1
ACC_0025,14,2,1,50.12,1
ACC_0026,14,1,1,82.68,1
ACC_0027,42,1,1,162.28,1
ACC_0028,32,1,1,112.75,1
ACC_0029,15,2,1,23.09,1
ACC_0030,22,2,1,60.26,1
ACC_0031,6,1,1,80.81,1
ACC_0032,11,1,1,70.57,1
ACC_0033,33,1,1,10.09,1
ACC_0034,13,2,1,96.83,1
ACC_0035,9,1,1,55.8,1
ACC_0036,24,2,1,98.19,1
ACC_0037,41,1,1,53.17,1
ACC_0038,12,1,1,61.15,1
ACC_0039,17,1,0,79.88,1
ACC_0040,23,1,0,50.73,1
ACC_0041,2,1,1,103.99,1
ACC_0042,4,1,1,51.17,1
ACC_0043,38,1,1,117.7,1
ACC_0044,11,2,1,35.62,1
ACC_0045,6,1,1,65.41,1
ACC_0046,36,1,1,48.5,1
ACC_0047,32,1,0,77.59,1
ACC_0048,39,2,1,67.98,1
ACC_0049,25,1,1,128.28,1
ACC_0050,7,1,1,104.38,1
ACC_0051,2,2,0,104.91,1
ACC_0052,32,1,1,69.37,1
ACC_0053,16,2,1,142.58,1
ACC_0054,24,2,0,143.51,1
ACC_0055,40,1,1,27.25,1
ACC_0056,35,2,1,61.91,1
ACC_0057,2,1,1,48.13,1
ACC_0058,33,1,1,40.4,1
ACC_0059,8,2,1,106.61,1
ACC_0060,519,2,1,276204.89,0
ACC_0061,1105,2,1,420437.72,0
ACC_0062,1448,2,1,391772.72,0
ACC_0063,86,2,0,218929.73,0
ACC_0064,343,2,0,373809.38,0
ACC_0065,1079,2,0,123882.88,0
ACC_0066,606,2,0,22279.86,0
ACC_0067,1255,2,0,412263.0,0
ACC_0068,1456,2,0,323922.72,0
ACC_0069,1120,2,0,187034.09,0
ACC_0070,240,2,1,423574.05,0
ACC_0071,1199,2,1,168575.87,0
ACC_0072,1244,2,1,76210.69,0
ACC_0073,1876,2,1,365260.91,0
ACC_0074,1406,2,1,45230.41,0
ACC_0075,1371,2,0,157244.28,0
ACC_0076,1722,2,1,379466.62,0
ACC_0077,844,2,0,62128.58,0
ACC_0078,305,2,1,129374.75,0
ACC_0079,818,2,1,113359.05,0
ACC_0080,467,2,0,222659.08,0
ACC_0081,1908,2,0,86826.96,0
ACC_0082,1859,2,0,344517.58,0
ACC_0083,1031,2,0,15431.03,0
ACC_0084,1437,2,1,251335.21,0
ACC_0085,913,2,1,70019.83,0
ACC_0086,1273,2,1,256712.97,0
ACC_0087,1425,2,1,20236.8,0
ACC_0088,1866,2,1,58032.72,0
ACC_0089,1052,2,0,119928.99,0
ACC_0090,1703,2,0,40162.85,0
ACC_0091,936,2,1,179824.01,0
ACC_0092,926,2,0,314657.53,0
ACC_0093,328,2,0,309732.54,0
ACC_0094,1742,2,0,119624.54,0
ACC_0095,1687,2,0,111068.65,0
ACC_0096,1557,2,0,361733.88,0
ACC_0097,1476,2,0,28530.14,0
ACC_0098,693,2,1,110804.06,0
ACC_0099,1721,2,1,81939.79,0
ACC_0100,1320,2,1,412664.29,0
ACC_0101,763,2,1,265661.17,0
ACC_0102,306,2,1,246090.34,0
ACC_0103,1518,2,0,9766.17,0
ACC_0104,1303,2,1,21048.22,0
ACC_0105,1833,2,0,78711.49,0
ACC_0106,971,2,1,214208.24,0
ACC_0107,610,2,1,202666.26,0
ACC_0108,416,2,1,267430.18,0
ACC_0109,1920,2,0,115366.83,0
ACC_0110,1989,2,0,219143.57,0
ACC_0111,828,2,1,296610.08,0
ACC_0112,1099,2,1,278812.42,0
ACC_0113,556,2,0,276235.3,0
ACC_0114,911,2,1,169892.0,0
ACC_0115,439,2,1,351119.87,0
ACC_0116,1510,2,0,169006.37,0
ACC_0117,1500,2,0,92143.58,0
ACC_0118,344,2,1,46773.3,0
ACC_0119,1981,2,1,268459.96,0
ACC_0120,786,2,1,140249.16,0
ACC_0121,1029,2,1,352518.3,0
ACC_0122,676,2,1,300434.23,0
ACC_0123,1709,2,0,379509.01,0
ACC_0124,1503,2,1,418111.51,0
ACC_0125,735,2,1,325163.36,0
ACC_0126,251,2,1,317037.9,0
ACC_0127,1631,2,1,336215.31,0
ACC_0128,1747,2,0,244303.69,0
ACC_0129,1863,2,1,325273.17,0
ACC_0130,276,2,1,165419.05,0
ACC_0131,1964,2,1,357654.38,0
ACC_0132,1425,2,1,46433.53,0
ACC_0133,1695,2,1,391465.64,0
ACC_0134,135,2,1,413493.5,0
ACC_0135,794,2,0,249260.79,0
ACC_0136,1450,2,1,42886.06,0
ACC_0137,455,2,1,291706.91,0
ACC_0138,1567,2,0,338307.23,0
ACC_0139,1122,2,1,215409.66,0
ACC_0140,994,2,0,27535.2,0
ACC_0141,1246,2,0,153931.99,0
ACC_0142,717,2,0,298352.06,0
ACC_0143,1013,2,0,46920.95,0
ACC_0144,1602,2,1,98951.74,0
ACC_0145,1476,2,0,306154.17,0
ACC_0146,1600,2,1,103514.91,0
ACC_0147,1731,2,1,162383.1,0
ACC_0148,559,2,1,392455.98,0
ACC_0149,1384,2,0,164789.61,0
ACC_0150,1498,2,1,165529.88,0
ACC_0151,226,2,1,391882.22,0
ACC_0152,98,2,1,112277.44,0
ACC_0153,813,2,1,27720.32,0
ACC_0154,535,2,0,356083.39,0
ACC_0155,1084,2,0,105347.77,0
ACC_0156,564,2,1,125999.06,0
ACC_0157,883,2,1,190526.27,0
ACC_0158,117,2,1,419096.09,0
ACC_0159,1912,2,1,22192.9,0
ACC_0160,1296,2,0,35214.45,0
ACC_0161,1310,2,0,35916.16,0
ACC_0162,106,2,0,301658.74,0
ACC_0163,1498,2,0,302162.69,0
ACC_0164,1342,2,0,23069.23,0
ACC_0165,1095,2,0,28388.89,0
ACC_0166,417,2,1,269264.8,0
ACC_0167,1091,2,1,280709.84,0
ACC_0168,1731,2,1,253638.28,0
ACC_0169,791,2,1,114962.52,0
ACC_0170,561,2,1,123450.69,0
ACC_0171,1807,2,0,119678.25,0
ACC_0172,968,2,0,355974.95,0
ACC_0173,1677,2,1,252570.07,0
ACC_0174,509,2,1,379161.78,0
ACC_0175,1334,2,1,14895.61,0
ACC_0176,1884,2,0,209390.54,0
ACC_0177,1322,2,1,258125.6,0
ACC_0178,122,2,1,358813.95,0
ACC_0179,748,2,0,204388.15,0
ACC_0180,1182,2,1,9457.07,0
ACC_0181,882,2,0,351846.79,0
ACC_0182,1946,2,0,394800.21,0
ACC_0183,1106,2,0,408337.64,0
ACC_0184,1541,2,1,106880.74,0
ACC_0185,516,2,1,412315.46,0
ACC_0186,776,2,1,379829.73,0
ACC_0187,547,2,0,157036.91,0
ACC_0188,1155,2,1,217013.97,0
ACC_0189,497,2,0,226438.04,0
ACC_0190,327,2,0,418279.96,0
ACC_0191,1049,2,0,176452.06,0
ACC_0192,683,2,1,183757.53,0
ACC_0193,1312,2,0,305227.77,0
ACC_0194,494,2,0,268035.77,0
ACC_0195,797,2,1,256320.74,0
ACC_0196,857,2,1,42585.3,0
ACC_0197,1391,2,1,196770.04,0
ACC_0198,1418,2,1,270101.94,0
ACC_0199,1646,2,0,344808.51,0
ACC_0200,197,2,0,214422.62,0
ACC_0201,1591,2,1,23246.97,0
ACC_0202,1857,2,1,144437.19,0
ACC_0203,1830,2,1,149925.68,0
ACC_0204,170,2,1,58454.84,0
ACC_0205,154,2,1,302480.79,0
ACC_0206,959,2,1,151683.86,0
ACC_0207,1278,2,0,224327.13,0
ACC_0208,731,2,1,85976.62,0
ACC_0209,1486,2,0,151433.4,0
ACC_0210,741,2,1,41600.17,0
ACC_0211,1596,2,1,156106.75,0
ACC_0212,1129,2,1,219263.96,0
ACC_0213,1896,2,1,43137.29,0
ACC_0214,106,2,0,38625.57,0
ACC_0215,409,2,1,165229.31,0
ACC_0216,396,2,1,348976.63,0
ACC_0217,684,2,1,426112.5,0
ACC_0218,362,2,1,211169.65,0
ACC_0219,533,2,0,231194.25,0
ACC_0220,1469,2,0,19315.08,0
ACC_0221,1395,2,1,297981.7,0
ACC_0222,978,2,1,231557.42,0
ACC_0223,1357,2,1,231773.24,0
ACC_0224,1098,2,1,319504.39,0
ACC_0225,87,2,1,141578.71,0
ACC_0226,1314,2,1,232937.76,0
ACC_0227,596,2,0,257895.01,0
ACC_0228,1663,2,1,281555.7,0
ACC_0229,1229,2,1,233696.44,0
ACC_0230,93,2,1,254871.78,0
ACC_0231,807,2,1,125169.6,0
ACC_0232,1601,2,0,263876.66,0
ACC_0233,1526,2,1,426223.13,0
ACC_0234,1824,2,0,6827.72,0
ACC_0235,336,2,1,108968.29,0
ACC_0236,575,2,0,41251.06,0
ACC_0237,409,2,1,387774.31,0
ACC_0238,818,2,1,11415.08,0
ACC_0239,288,2,0,51597.47,0
ACC_0240,1405,2,1,396612.28,0
ACC_0241,1930,2,0,114085.57,0
