tx_id,source_id,target_id,amount,timestamp,is_scam
TX_004985,ACC_0023,ACC_0250,1962.02,2026-08-01 00:07:00,0
TX_004552,ACC_0035,ACC_0883,351.53,2026-08-01 00:25:00,0
TX_005012,ACC_0186,ACC_0001,169.07,2026-08-01 00:29:00,1
TX_005013,ACC_0186,ACC_0001,40824.77,2026-08-01 00:39:00,1
TX_001125,ACC_0646,ACC_0039,170.69,2026-08-01 00:57:00,0
TX_002243,ACC_0134,ACC_0155,114.99,2026-08-01 00:58:00,0
TX_004308,ACC_0827,ACC_0263,282.03,2026-08-01 01:01:00,0
TX_002461,ACC_0634,ACC_0747,320.33,2026-08-01 01:04:00,0
TX_001484,ACC_0820,ACC_0682,79.78,2026-08-01 01:18:00,0
TX_003092,ACC_0948,ACC_0154,156.55,2026-08-01 01:24:00,0
TX_000054,ACC_0954,ACC_0165,253.42,2026-08-01 01:25:00,0
TX_004523,ACC_0789,ACC_0368,228.83,2026-08-01 01:28:00,0
TX_003023,ACC_0196,ACC_0884,1177.06,2026-08-01 01:31:00,0
TX_001615,ACC_0069,ACC_0288,57.25,2026-08-01 01:33:00,0
TX_002133,ACC_0218,ACC_0455,315.86,2026-08-01 01:37:00,0
TX_004262,ACC_0442,ACC_0787,77.76,2026-08-01 01:42:00,0
TX_002982,ACC_0557,ACC_0554,378.14,2026-08-01 01:45:00,0
TX_001345,ACC_0157,ACC_0886,647.71,2026-08-01 01:57:00,0
TX_001012,ACC_0278,ACC_0113,617.67,2026-08-01 01:58:00,0
TX_001079,ACC_0507,ACC_0258,925.55,2026-08-01 02:01:00,0
TX_000385,ACC_0197,ACC_0170,138.45,2026-08-01 02:07:00,0
TX_002123,ACC_0003,ACC_0102,818.64,2026-08-01 02:49:00,0
TX_003269,ACC_0574,ACC_0531,2304.92,2026-08-01 02:52:00,0
TX_002628,ACC_0017,ACC_0142,212.03,2026-08-01 02:58:00,0
TX_000711,ACC_0109,ACC_0644,371.69,2026-08-01 03:08:00,0
TX_002012,ACC_0480,ACC_0182,162.77,2026-08-01 03:16:00,0
TX_003213,ACC_0721,ACC_0323,190.52,2026-08-01 03:20:00,0
TX_001853,ACC_0644,ACC_0893,839.93,2026-08-01 03:20:00,0
TX_003749,ACC_0389,ACC_0439,168.26,2026-08-01 03:29:00,0
TX_003181,ACC_0739,ACC_0947,359.76,2026-08-01 03:53:00,0
TX_000382,ACC_0513,ACC_0862,162.16,2026-08-01 04:03:00,0
TX_002305,ACC_0762,ACC_0243,170.78,2026-08-01 04:03:00,0
TX_002570,ACC_0200,ACC_0124,299.5,2026-08-01 04:10:00,0
TX_000330,ACC_0228,ACC_0051,1415.95,2026-08-01 04:16:00,0
TX_002863,ACC_0982,ACC_0570,189.97,2026-08-01 04:19:00,0
TX_002500,ACC_0526,ACC_0612,680.39,2026-08-01 04:24:00,0
TX_003204,ACC_0929,ACC_0837,196.2,2026-08-01 04:33:00,0
TX_004564,ACC_0665,ACC_0936,722.87,2026-08-01 04:41:00,0
TX_003951,ACC_0090,ACC_0122,104.19,2026-08-01 04:52:00,0
TX_002370,ACC_0681,ACC_0427,204.28,2026-08-01 04:52:00,0
TX_003969,ACC_0194,ACC_0264,535.65,2026-08-01 05:01:00,0
TX_003252,ACC_0427,ACC_0782,1595.2,2026-08-01 05:32:00,0
TX_003910,ACC_0579,ACC_0745,1850.62,2026-08-01 05:47:00,0
TX_001329,ACC_0221,ACC_0834,392.9,2026-08-01 05:59:00,0
TX_000675,ACC_0402,ACC_0034,293.41,2026-08-01 06:05:00,0
TX_000579,ACC_0751,ACC_0545,699.91,2026-08-01 06:05:00,0
TX_001460,ACC_0304,ACC_0868,85.13,2026-08-01 06:09:00,0
TX_004430,ACC_0789,ACC_0751,463.79,2026-08-01 06:38:00,0
TX_003775,ACC_0749,ACC_0697,307.71,2026-08-01 06:54:00,0
TX_004847,ACC_0072,ACC_0221,66.36,2026-08-01 07:09:00,0
TX_000765,ACC_0836,ACC_0709,281.96,2026-08-01 07:18:00,0
TX_003714,ACC_0650,ACC_0525,390.96,2026-08-01 07:25:00,0
TX_003597,ACC_0620,ACC_0964,501.83,2026-08-01 08:05:00,0
TX_000705,ACC_0225,ACC_0531,541.44,2026-08-01 08:06:00,0
TX_004155,ACC_0615,ACC_0808,351.39,2026-08-01 08:08:00,0
TX_000493,ACC_0896,ACC_0724,711.23,2026-08-01 08:21:00,0
TX_003277,ACC_0695,ACC_0732,1011.78,2026-08-01 08:23:00,0
TX_002754,ACC_0272,ACC_0296,131.92,2026-08-01 08:26:00,0
TX_004146,ACC_0622,ACC_0444,981.04,2026-08-01 08:39:00,0
TX_000831,ACC_0848,ACC_0503,670.67,2026-08-01 08:45:00,0
TX_004201,ACC_0520,ACC_0193,69.0,2026-08-01 08:57:00,0
TX_000007,ACC_0200,ACC_0344,189.49,2026-08-01 09:15:00,0
TX_002683,ACC_0276,ACC_0516,264.1,2026-08-01 09:21:00,0
TX_003931,ACC_0967,ACC_0827,888.41,2026-08-01 09:40:00,0
TX_004793,ACC_0037,ACC_0113,472.95,2026-08-01 09:42:00,0
TX_002656,ACC_0300,ACC_0320,510.14,2026-08-01 09:53:00,0
TX_000614,ACC_0169,ACC_0523,118.1,2026-08-01 10:02:00,0
TX_003145,ACC_0303,ACC_0788,368.17,2026-08-01 10:12:00,0
TX_003661,ACC_0984,ACC_0435,1742.67,2026-08-01 10:14:00,0
TX_003532,ACC_0594,ACC_0123,290.52,2026-08-01 10:14:00,0
TX_004899,ACC_0508,ACC_0578,246.7,2026-08-01 10:20:00,0
TX_000334,ACC_0583,ACC_0131,149.82,2026-08-01 10:29:00,0
TX_000953,ACC_0635,ACC_0701,59.28,2026-08-01 10:49:00,0
TX_005246,ACC_0605,ACC_0027,195.66,2026-08-01 10:52:00,1
TX_001747,ACC_0528,ACC_0998,133.01,2026-08-01 10:58:00,0
TX_003590,ACC_0779,ACC_0454,213.82,2026-08-01 11:00:00,0
TX_005247,ACC_0605,ACC_0027,32827.87,2026-08-01 11:02:00,1
TX_001636,ACC_0457,ACC_0602,85.3,2026-08-01 11:06:00,0
TX_000760,ACC_0951,ACC_0940,361.13,2026-08-01 11:22:00,0
TX_002117,ACC_0206,ACC_0176,362.19,2026-08-01 11:25:00,0
TX_002964,ACC_0751,ACC_0712,56.72,2026-08-01 11:28:00,0
TX_003280,ACC_0631,ACC_0653,499.48,2026-08-01 11:32:00,0
TX_004505,ACC_0422,ACC_0434,1079.74,2026-08-01 11:41:00,0
TX_001662,ACC_0630,ACC_0118,421.28,2026-08-01 12:25:00,0
TX_004573,ACC_0250,ACC_0323,1448.69,2026-08-01 12:32:00,0
TX_004157,ACC_0636,ACC_0157,326.98,2026-08-01 12:34:00,0
TX_002634,ACC_0358,ACC_0711,364.65,2026-08-01 12:38:00,0
TX_001737,ACC_0338,ACC_0865,687.35,2026-08-01 12:46:00,0
TX_004035,ACC_0774,ACC_0195,168.27,2026-08-01 12:49:00,0
TX_004488,ACC_0114,ACC_0900,719.72,2026-08-01 12:54:00,0
TX_003959,ACC_0741,ACC_0106,906.07,2026-08-01 13:03:00,0
TX_000503,ACC_0839,ACC_0580,209.62,2026-08-01 13:17:00,0
TX_000607,ACC_0389,ACC_0021,258.4,2026-08-01 13:19:00,0
TX_002831,ACC_0556,ACC_0702,344.87,2026-08-01 13:36:00,0
TX_004820,ACC_0140,ACC_0042,450.49,2026-08-01 13:38:00,0
TX_004357,ACC_0578,ACC_0529,654.45,2026-08-01 13:39:00,0
TX_002182,ACC_0222,ACC_0808,485.55,2026-08-01 13:40:00,0
TX_004021,ACC_0021,ACC_0350,63.51,2026-08-01 13:48:00,0
TX_004438,ACC_0048,ACC_0360,367.54,2026-08-01 13:50:00,0
TX_003344,ACC_0404,ACC_0375,1111.95,2026-08-01 13:51:00,0
TX_001984,ACC_0389,ACC_0724,621.59,2026-08-01 14:02:00,0
TX_002559,ACC_0631,ACC_0443,414.07,2026-08-01 14:17:00,0
TX_001891,ACC_0835,ACC_0825,101.73,2026-08-01 14:37:00,0
TX_000150,ACC_0943,ACC_0285,350.42,2026-08-01 14:42:00,0
TX_000278,ACC_0229,ACC_0823,91.62,2026-08-01 14:46:00,0
TX_002944,ACC_0309,ACC_0617,262.46,2026-08-01 14:59:00,0
TX_003929,ACC_0916,ACC_0321,176.39,2026-08-01 15:18:00,0
TX_002504,ACC_0576,ACC_0786,612.85,2026-08-01 15:18:00,0
TX_003644,ACC_0734,ACC_0992,169.61,2026-08-01 15:19:00,0
TX_000892,ACC_0743,ACC_0762,512.74,2026-08-01 15:19:00,0
TX_001239,ACC_0150,ACC_0727,440.72,2026-08-01 15:33:00,0
TX_003180,ACC_0402,ACC_0383,107.4,2026-08-01 15:34:00,0
TX_000797,ACC_0104,ACC_0907,420.39,2026-08-01 15:46:00,0
TX_001208,ACC_0223,ACC_0505,408.18,2026-08-01 15:48:00,0
TX_000258,ACC_0755,ACC_0541,948.76,2026-08-01 15:51:00,0
TX_001029,ACC_0288,ACC_0653,344.68,2026-08-01 15:53:00,0
TX_000000,ACC_0090,ACC_0111,1669.29,2026-08-01 15:56:00,0
TX_004209,ACC_0578,ACC_0471,256.76,2026-08-01 15:59:00,0
TX_003735,ACC_0050,ACC_0739,647.78,2026-08-01 16:21:00,0
TX_002145,ACC_0151,ACC_0336,110.89,2026-08-01 16:41:00,0
TX_004473,ACC_0632,ACC_0725,708.23,2026-08-01 16:45:00,0
TX_003656,ACC_0604,ACC_0786,641.36,2026-08-01 16:56:00,0
TX_002536,ACC_0737,ACC_0319,67.44,2026-08-01 17:02:00,0
TX_003161,ACC_0146,ACC_0619,58.31,2026-08-01 17:02:00,0
TX_004918,ACC_0972,ACC_0394,1281.84,2026-08-01 17:07:00,0
TX_000546,ACC_0794,ACC_0895,639.96,2026-08-01 17:27:00,0
TX_004933,ACC_0960,ACC_0023,343.72,2026-08-01 18:04:00,0
TX_000353,ACC_0330,ACC_0406,198.66,2026-08-01 18:05:00,0
TX_002258,ACC_0431,ACC_0553,1114.24,2026-08-01 18:23:00,0
TX_002236,ACC_0095,ACC_0426,280.22,2026-08-01 18:28:00,0
TX_004508,ACC_0842,ACC_0545,375.04,2026-08-01 18:58:00,0
TX_000032,ACC_0584,ACC_0179,370.37,2026-08-01 19:13:00,0
TX_004295,ACC_0510,ACC_0932,581.15,2026-08-01 19:14:00,0
TX_004462,ACC_0118,ACC_0544,127.87,2026-08-01 19:22:00,0
TX_004860,ACC_0340,ACC_0751,918.28,2026-08-01 19:26:00,0
TX_000624,ACC_0608,ACC_0138,53.0,2026-08-01 19:34:00,0
TX_003191,ACC_0912,ACC_0078,352.72,2026-08-01 19:46:00,0
TX_002137,ACC_0086,ACC_0451,649.15,2026-08-01 19:57:00,0
TX_001573,ACC_0774,ACC_0641,334.75,2026-08-01 20:15:00,0
TX_003826,ACC_0400,ACC_0561,62.19,2026-08-01 20:25:00,0
TX_004159,ACC_0130,ACC_0003,348.66,2026-08-01 20:30:00,0
TX_001006,ACC_0317,ACC_0412,433.64,2026-08-01 20:31:00,0
TX_002542,ACC_0607,ACC_0512,593.96,2026-08-01 20:41:00,0
TX_003664,ACC_0339,ACC_0277,254.46,2026-08-01 21:07:00,0
TX_003665,ACC_0105,ACC_0573,1607.67,2026-08-01 21:30:00,0
TX_001554,ACC_0802,ACC_0526,194.02,2026-08-01 21:35:00,0
TX_000137,ACC_0493,ACC_0325,116.06,2026-08-01 21:42:00,0
TX_002529,ACC_0649,ACC_0529,90.26,2026-08-01 21:53:00,0
TX_000340,ACC_0059,ACC_0537,286.13,2026-08-01 21:53:00,0
TX_001267,ACC_0299,ACC_0080,220.14,2026-08-01 22:08:00,0
TX_002750,ACC_0329,ACC_0323,242.31,2026-08-01 22:17:00,0
TX_003333,ACC_0851,ACC_0911,345.52,2026-08-01 22:19:00,0
TX_004176,ACC_0306,ACC_0754,365.2,2026-08-01 22:44:00,0
TX_003722,ACC_0897,ACC_0724,117.35,2026-08-01 22:50:00,0
TX_002636,ACC_0178,ACC_0950,1070.53,2026-08-01 23:16:00,0
TX_002418,ACC_0603,ACC_0247,592.65,2026-08-01 23:16:00,0
TX_003126,ACC_0831,ACC_0166,663.02,2026-08-01 23:28:00,0
TX_002343,ACC_0283,ACC_0527,787.46,2026-08-01 23:32:00,0
TX_004900,ACC_0306,ACC_0014,1771.93,2026-08-01 23:55:00,0
TX_002499,ACC_0944,ACC_0470,696.54,2026-08-01 23:57:00,0
TX_001185,ACC_0466,ACC_0058,928.58,2026-08-02 00:08:00,0
TX_003113,ACC_0341,ACC_0702,329.5,2026-08-02 00:18:00,0
TX_004755,ACC_0581,ACC_0022,1535.82,2026-08-02 00:24:00,0
TX_001674,ACC_0858,ACC_0553,357.22,2026-08-02 00:26:00,0
TX_000056,ACC_0744,ACC_0429,537.69,2026-08-02 00:44:00,0
TX_000538,ACC_0026,ACC_0932,784.25,2026-08-02 00:47:00,0
TX_001564,ACC_0044,ACC_0383,576.78,2026-08-02 01:09:00,0
TX_002472,ACC_0537,ACC_0733,615.74,2026-08-02 01:21:00,0
TX_003897,ACC_0593,ACC_0191,697.62,2026-08-02 01:31:00,0
TX_001134,ACC_0083,ACC_0352,877.92,2026-08-02 01:38:00,0
TX_005120,ACC_0870,ACC_0029,225.82,2026-08-02 01:43:00,1
TX_004043,ACC_0711,ACC_0682,286.82,2026-08-02 01:44:00,0
TX_003309,ACC_0389,ACC_0230,938.58,2026-08-02 01:52:00,0
TX_005121,ACC_0870,ACC_0029,32068.17,2026-08-02 01:53:00,1
TX_001588,ACC_0380,ACC_0302,792.03,2026-08-02 01:55:00,0
TX_002599,ACC_0593,ACC_0599,699.87,2026-08-02 02:49:00,0
TX_003366,ACC_0935,ACC_0040,176.96,2026-08-02 02:52:00,0
TX_000492,ACC_0004,ACC_0727,266.36,2026-08-02 02:53:00,0
TX_003716,ACC_0630,ACC_0805,595.92,2026-08-02 02:56:00,0
TX_003841,ACC_0646,ACC_0128,1275.62,2026-08-02 03:09:00,0
