account_id,account_age_days,kyc_level,is_mule
ACC_0000,7,2,1
ACC_0001,15,2,1
ACC_0002,29,1,1
ACC_0003,26,1,1
ACC_0004,11,1,1
ACC_0005,21,1,1
ACC_0006,24,1,1
ACC_0007,21,2,1
ACC_0008,12,2,1
ACC_0009,2,1,1
ACC_0010,21,1,1
ACC_0011,26,1,1
ACC_0012,12,1,1
ACC_0013,27,1,1
ACC_0014,10,1,1
ACC_0015,28,1,1
ACC_0016,15,1,1
ACC_0017,12,1,1
ACC_0018,25,1,1
ACC_0019,19,1,1
ACC_0020,9,1,1
ACC_0021,4,2,1
ACC_0022,14,2,1
ACC_0023,9,1,1
ACC_0024,2,1,1
ACC_0025,15,1,1
ACC_0026,12,1,1
ACC_0027,15,1,1
ACC_0028,17,1,1
ACC_0029,8,2,1
ACC_0030,6,1,1
ACC_0031,4,1,1
ACC_0032,18,2,1
ACC_0033,2,1,1
ACC_0034,4,1,1
ACC_0035,16,1,1
ACC_0036,14,1,1
ACC_0037,25,2,1
ACC_0038,21,1,1
ACC_0039,18,1,1
ACC_0040,24,1,1
ACC_0041,28,1,1
ACC_0042,13,1,1
ACC_0043,15,1,1
ACC_0044,25,2,1
ACC_0045,24,1,1
ACC_0046,8,1,1
ACC_0047,11,1,1
ACC_0048,8,2,1
ACC_0049,1,1,1
ACC_0050,1573,2,0
ACC_0051,290,2,0
ACC_0052,1077,2,0
ACC_0053,100,2,0
ACC_0054,1111,2,0
ACC_0055,194,2,0
ACC_0056,260,2,0
ACC_0057,839,2,0
ACC_0058,989,2,0
ACC_0059,1116,2,0
ACC_0060,1131,2,0
ACC_0061,562,2,0
ACC_0062,466,2,0
ACC_0063,1657,2,0
ACC_0064,864,2,0
ACC_0065,158,2,0
ACC_0066,743,2,0
ACC_0067,785,2,0
ACC_0068,1630,2,0
ACC_0069,1020,2,0
ACC_0070,672,2,0
ACC_0071,1545,2,0
ACC_0072,702,2,0
ACC_0073,1088,2,0
ACC_0074,1301,2,0
ACC_0075,562,2,0
ACC_0076,826,2,0
ACC_0077,457,2,0
ACC_0078,930,2,0
ACC_0079,854,2,0
ACC_0080,452,2,0
ACC_0081,266,2,0
ACC_0082,1098,2,0
ACC_0083,1637,2,0
ACC_0084,951,2,0
ACC_0085,1544,2,0
ACC_0086,1774,2,0
ACC_0087,1658,2,0
ACC_0088,923,2,0
ACC_0089,802,2,0
ACC_0090,1324,2,0
ACC_0091,623,2,0
ACC_0092,1080,2,0
ACC_0093,155,2,0
ACC_0094,544,2,0
ACC_0095,1490,2,0
ACC_0096,290,2,0
ACC_0097,808,2,0
ACC_0098,1738,2,0
ACC_0099,1254,2,0
